1,Feels Right,Biig Piig
2,Good Days,SZA
3,Show Out,Pop Smoke
4,drivers license,Olivia Rodrigo
5,MAZZA,A$AP Rocky
6,Something About Being Sixteen,Teenage Joans
7,Masterpiece,The Rubens
8,Queen,mxmtoon
9,PAIN,King Princess
10,Chemtrails Over The Country Club,Lana Del Rey
11,The Divine Chord,Johnny Marr
12,Not Ready For Love,Tyne-James Organ
13,Germs,Sycco
14,Comets & Zombies,Slowly Slowly
15,Questions,Middle Kids
16,Old Youth Feeling,Bugs
17,FEEL SOMETHING DIFFERENT,Aminé
18,CONFIDENT,Tasman Keith
19,Apricots,MAY-A
20,Never Gonna Be The Same,Mia Wray
21,It's All Connected,Andy Bull
22,Passion,Gretta Ray
23,i miss u,Jax Jones & Au/Ra
24,Spa,Icona Pop & Sofi Tukker
25,The Other Black Dog,Genesis Owusu
26,Too Tough Terry,Dune Rats
27,Heaven Of My Own,Miiesha
28,Real Shit,Juice WRLD & benny blanco
29,Port Rd,Queen P
30,Vibrate,Jerome Farah
31,Tyler Herro,Jack Harlow
32,1st Time,Bakar
33,Fallin' Apart,Pell
34,Parlez-Vous Anglais,Aitch
35,Somebody Loves You,Carla Wehbe
36,Driver,Pendulum
37,Come Over,Popcaan
38,Bridged By A Lightwave,deadmau5 & Kiesza
39,Learning Alive,DMA'S
40,Teenager,George Alice
41,Bad Boy,Juice WRLD & Young Thug
42,Sunshine,Triple One
43,Nightmare,Sloan Peterson
44,forget me too,Halsey
45,Weightless,Spacey Jane
46,24k,Tkay Maidza
47,"to Perth, before the border closes",Julia Jacklin
48,Impossible,Nothing But Thieves
49,Dance,Julia Stone
50,until we meet again,yergurl
51,Nothing Ever Goes My Way,Ball Park Music
52,Together,beabadoobee
53,Easier,LOWES
54,Diamonds,Taka Perry
55,Knievel Daredevil,Asha Jefferies
56,River,PNAU & Ladyhawke
57,Heat Waves,Glass Animals
58,In Her Eyes,The Jungle Giants
59,Storm,CLYPSO
60,Get Me So High,Eves Karydas
61,dumbshit,Cat & Calmell
62,Spicy,Post Malone
63,Sunbeam,KIAN
64,Anything,Alison Wonderland & Valentino Khan
65,Out Of Touch,Lastlings
66,Come Along,A.GIRL
67,Fly Away,Tones And I
68,SEND IT!,Hooligan Hefs
69,Alchemy,Blanke
70,Nigel Hitter,shame
71,Follow Me,ShockOne
72,cotton candy,YUNGBLUD
73,Willow Tree,Jerome Farah
74,LUCID,Rina Sawayama
75,Lose Your Head,London Grammar
76,Falling,Crooked Colours
77,Dead Butterflies,Architects
78,Get Me Out,King Stingray
79,Poison,Sydnee Carter
80,AC/DC CD,The Chats
81,Brick Wall,A Day to Remember
82,Kids Fallin' In Love,Dope Lemon
83,Juno,Running Touch
84,Dog Eared,Carla Geneve
85,Home,Eliott
86,Mango Terrarium,Psychedelic Porn Crumpets
87,Best I Ever Had,LAUREL
88,Pretty Grim,Ruby Fields
89,Kool,BENEE
90,Tally-Ho,Psychedelic Porn Crumpets
91,Ticks Me Off,Lime Cordiale
92,Drama Club,Tired Lion
93,Ego Death,Skrillex
94,Mungdungus,Psychedelic Porn Crumpets
95,Hats Off To The Green Bins,Psychedelic Porn Crumpets
96,Intrasport,King Gizzard & The Lizard Wizard
97,Pukebox,Psychedelic Porn Crumpets
98,Bad Decisions,The Strokes
99,Glitter Bug,Psychedelic Porn Crumpets
100,Valhalla,Skegss
